type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
"appartements, à vendre",aïn borja,3.0,91.0,91.0,3.0,2.0,3.0,15,850000.0
"appartements, à vendre",californie,3.0,157.0,165.0,3.0,2.0,2.0,10,2600000.0
"appartements, à vendre",maarif,1.0,130.0,136.0,3.0,2.0,2.0,20,9300.0
"appartements, à vendre",oasis,1.0,115.0,115.0,3.0,3.0,1.0,10,2380000.0
"appartements, à vendre",aïn sebaâ,1.0,62.0,62.0,1.0,1.0,1.0,1,651000.0
"appartements, à vendre",sidi bernoussi,2.0,84.0,140.0,1.0,1.0,2.0,5,1100000.0
"appartements, à vendre",sidi bernoussi,1.0,115.0,141.0,2.0,2.0,1.0,5,1250000.0
"appartements, à vendre",sidi bernoussi,3.0,60.0,60.0,2.0,2.0,1.0,10,320000.0
"appartements, à vendre",aïn borja,2.0,54.0,58.0,2.0,1.0,1.0,5,590000.0
"appartements, à vendre",belvédère,6.0,159.0,171.0,3.0,2.0,2.0,10,1800000.0
"appartements, à vendre",al fida,6.0,70.0,67.0,2.0,1.0,1.0,5,690000.0
"appartements, à vendre",belvédère,1.0,78.0,90.0,2.0,2.0,1.0,5,950000.0
"appartements, à vendre",sidi moumen,2.0,74.0,74.0,3.0,1.0,1.0,15,420000.0
"appartements, à vendre",sidi moumen,2.0,60.0,60.0,2.0,1.0,1.0,15,380000.0
"appartements, à vendre",sidi moumen,1.0,59.0,59.0,2.0,1.0,1.0,15,360000.0
"appartements, à vendre",aïn sebaâ,3.0,62.0,119.0,1.0,1.0,1.0,1,870000.0
"appartements, à vendre",sidi maarouf,1.0,86.0,88.0,3.0,2.0,1.0,1,1080000.0
"appartements, à vendre",sidi maarouf,2.0,132.0,140.0,3.0,3.0,1.0,1,1280000.0
"appartements, à vendre",aïn chock,3.0,127.0,127.0,3.0,3.0,2.0,5,1650000.0
"appartements, à vendre",belvédère,6.0,75.0,99.0,2.0,1.0,2.0,1,1150000.0
"appartements, à vendre",sidi maarouf,0.0,37.0,46.0,1.0,1.0,1.0,1,450000.0
"appartements, à vendre",la gironde,4.0,66.0,66.0,2.0,2.0,1.0,1,700000.0
"appartements, à vendre",sidi maarouf,2.0,62.0,62.0,2.0,2.0,2.0,1,632000.0
"appartements, à vendre",sidi maarouf,1.0,96.0,96.0,2.0,2.0,1.0,5,975000.0
"appartements, à vendre",californie,1.0,108.0,108.0,3.0,2.0,1.0,15,985000.0
"appartements, à vendre",beauséjour,4.0,146.0,146.0,3.0,2.0,2.0,15,1850000.0
"appartements, à vendre",sidi othmane,1.0,82.0,81.0,2.0,2.0,2.0,1,400000.0
"appartements, à vendre",sidi maarouf,2.0,132.0,140.0,3.0,3.0,1.0,1,1280000.0
"appartements, à vendre",sidi bernoussi,2.0,85.0,85.0,3.0,2.0,1.0,20,750000.0
"appartements, à vendre",sidi bernoussi,4.0,62.0,62.0,2.0,2.0,1.0,15,380000.0
"appartements, à vendre",bourgogne,1.0,125.0,140.0,3.0,2.0,1.0,10,2400000.0
"appartements, à vendre",hay mohammadi,2.0,105.0,141.0,2.0,1.0,1.0,20,850000.0
"appartements, à vendre",maarif,4.0,105.0,105.0,2.0,2.0,1.0,1,1457000.0
"appartements, à vendre",maarif,4.0,58.0,58.0,1.0,1.0,1.0,1,900000.0
"appartements, à vendre",maarif,3.0,142.0,142.0,3.0,3.0,2.0,1,1800000.0
"appartements, à vendre",ferme bretone,1.0,91.0,91.0,2.0,2.0,1.0,5,1550000.0
"appartements, à vendre",quartier des hôpitaux,5.0,163.0,185.0,3.0,2.0,3.0,15,2150000.0
"appartements, à vendre",maarif,3.0,80.0,80.0,2.0,2.0,1.0,5,1350000.0
"appartements, à vendre",gauthier,2.0,204.0,221.0,3.0,3.0,2.0,20,3400000.0
"appartements, à vendre",gauthier,2.0,204.0,221.0,3.0,3.0,2.0,20,3400000.0
"appartements, à vendre",aïn sebaâ,3.0,97.0,101.0,3.0,2.0,1.0,1,990000.0
"appartements, à vendre",aïn sebaâ,4.0,108.0,108.0,3.0,2.0,1.0,1,1177000.0
"appartements, à vendre",bourgogne,1.0,103.0,103.0,2.0,2.0,1.0,15,1100000.0
"appartements, à vendre",aïn borja,0.0,119.0,119.0,3.0,2.0,1.0,20,850000.0
